number,time,thscode,open,high,low,close,volume,amount,turnoverRatio,totalCapital,pe,pb
85,2022-12-15,603939.SH,232.7414,240.121,231.4926,234.5958,4309958.0,267671817.0,0.5998,44738488610.7,40.7405,5.5395
86,2022-12-14,603939.SH,239.5534,240.3859,233.4983,236.7907,7246680.0,451668849.0,1.0084,45157077470.1,41.1217,5.5913
87,2022-12-13,603939.SH,257.3401,258.0213,238.1153,239.7426,8747803.0,561427321.0,1.2173,45720007315.5,41.6343,5.661
88,2022-12-12,603939.SH,254.0098,260.5569,253.5557,254.691,5394367.0,365211007.0,0.7507,48570741789.0,44.2303,6.014
89,2022-12-09,603939.SH,252.2311,259.2323,246.8194,252.988,6551961.0,440419053.0,0.9118,48245974570.5,43.9346,5.9738
90,2022-12-08,603939.SH,246.8573,256.2805,246.8573,252.2311,6837132.0,455168574.0,0.9514,48101633584.5,43.8031,5.9559
91,2022-12-07,603939.SH,241.824,247.8791,235.0121,244.7758,6826676.0,440184094.0,0.95,46679874872.4,42.5084,5.7799
92,2022-12-06,603939.SH,264.417,264.417,239.0235,242.0132,10756180.0,704715553.0,1.4968,46153030273.5,42.0287,5.7146
93,2022-12-05,603939.SH,262.2598,278.1544,261.011,265.2117,11466758.0,811435191.0,1.5957,50577081494.4,46.0574,6.2624
94,2022-12-02,603939.SH,251.0958,265.7037,251.0958,261.011,7098582.0,482774335.0,0.9878,49775989022.1,45.3279,6.1632
95,2022-12-01,603939.SH,257.3779,268.2392,242.2024,253.6314,9870053.0,664162299.0,1.3735,48368664408.6,44.0463,5.989
96,2022-11-30,603939.SH,250.4903,255.1451,244.4731,246.3653,4915260.0,322296622.0,0.684,46982990943.0,42.7845,5.8174
97,2022-11-29,603939.SH,244.2082,256.5075,242.2024,253.2529,6563729.0,434507517.0,0.9134,48296493915.6,43.9806,5.9801
98,2022-11-28,603939.SH,240.3481,251.1337,238.5316,245.7598,5407281.0,351064442.0,0.7525,46867518154.2,42.6793,5.8031
99,2022-11-25,603939.SH,245.1921,245.1921,237.4719,241.4077,2496454.0,158576777.0,0.3474,46037557484.7,41.9235,5.7003
100,2022-11-24,603939.SH,239.9696,246.933,238.91,245.9869,3329262.0,214938529.0,0.4633,46910820450.0,42.7187,5.8085
101,2022-11-23,603939.SH,242.543,243.3378,233.4226,239.5912,4806238.0,301760482.0,0.6688,45691139118.3,41.6081,5.6575
102,2022-11-22,603939.SH,247.5763,255.902,238.4937,242.8836,6115933.0,394004708.0,0.8511,46319022407.4,42.1798,5.7352
103,2022-11-21,603939.SH,249.7713,251.5878,233.8767,250.4146,7242850.0,467636879.0,1.0079,47755215218.1,43.4877,5.913
104,2022-11-18,603939.SH,263.3952,266.1578,253.5557,258.1348,7413405.0,503977276.0,1.0316,49227493275.3,44.8284,6.0953
105,2022-11-17,603939.SH,253.5557,268.6177,250.5282,267.8608,6936536.0,479339423.0,0.9653,51082274945.4,46.5174,6.325
106,2022-11-16,603939.SH,252.3447,265.7037,251.058,253.2908,6388981.0,433680277.0,0.8891,48303710964.9,43.9872,5.9809
107,2022-11-15,603939.SH,267.331,271.7966,254.0098,256.2048,8375664.0,573731961.0,1.1655,48859423761.0,44.4932,6.0498
108,2022-11-14,603939.SH,244.0947,270.0557,242.3917,263.4709,14046154.0,980907056.0,1.9546,50245097226.6,45.7551,6.2213
109,2022-11-11,603939.SH,236.3366,247.0465,236.3366,245.4949,5755314.0,369837253.0,0.8009,46816998809.1,42.6333,5.7969
110,2022-11-10,603939.SH,232.9306,241.6726,227.0648,235.1634,3846022.0,239837529.0,0.5352,44846744350.2,40.8391,5.5529
111,2022-11-09,603939.SH,225.551,234.2552,224.1886,232.9306,4223007.0,258482069.0,0.5877,44420938441.5,40.4514,5.5002
112,2022-11-08,603939.SH,226.9134,230.3951,219.7987,228.0487,6250458.0,373843468.0,0.8698,43489939081.8,39.6036,5.3849
113,2022-11-07,603939.SH,241.332,241.332,222.1451,227.0648,8783324.0,530663687.0,1.2223,43302295800.0,39.4327,5.3617
114,2022-11-04,603939.SH,231.2277,245.6084,208.9375,241.332,8237027.0,517565444.0,1.1462,46023123386.1,41.9104,5.6986
115,2022-11-03,603939.SH,224.4157,228.8813,222.4857,227.0648,4348163.0,259827323.0,0.6051,43302295800.0,39.4327,5.3617
116,2022-11-02,603939.SH,214.5384,234.1795,211.2081,227.2919,7594664.0,453361709.0,1.0569,43345598095.8,39.4721,5.367
117,2022-11-01,603939.SH,212.5326,217.5281,206.1748,215.6737,5392146.0,302400746.0,0.7504,41129963960.7,37.4545,5.0927
118,2022-10-31,603939.SH,215.7116,218.3606,210.0349,212.457,4779634.0,269450062.0,0.6651,40516514770.2,36.8958,5.0167
119,2022-10-28,603939.SH,217.793,225.1726,213.8572,215.7116,3669761.0,211295198.0,0.5107,41137181010.0,37.461,5.0936
120,2022-10-27,603939.SH,216.9983,225.4753,213.4031,219.4203,6623245.0,385178062.0,0.9217,41844451841.4,38.1051,5.1812
121,2022-10-26,603939.SH,206.7803,219.496,204.9638,219.0797,6876012.0,391643172.0,0.9568,41779498397.7,38.046,5.1731
122,2022-10-25,603939.SH,208.1049,215.7116,202.9581,207.2345,4057335.0,222210771.0,0.5646,39520561966.8,35.9889,4.8934
123,2022-10-24,603939.SH,206.5533,211.473,203.6014,207.7643,4868028.0,267211821.0,0.6774,39621600657.0,36.0809,4.9059
124,2022-10-21,603939.SH,211.965,214.8411,206.629,207.9914,6895362.0,382511512.0,0.9595,39664902952.8,36.1203,4.9113
125,2022-10-20,603939.SH,208.5212,220.0636,204.8503,212.9489,6630374.0,373465613.0,0.9227,40610336411.1,36.9813,5.0284
126,2022-10-19,603939.SH,210.6404,212.5705,204.0177,206.8939,3849434.0,210561068.0,0.5357,39455608523.1,35.9297,4.8854
127,2022-10-18,603939.SH,213.895,215.106,205.0395,211.9271,4854634.0,271371749.0,0.6756,40242144880.0,36.646,4.9828
